promo_text,telegram_views,image_path,message_date,odds,tip,message_id,safety
Congratulations Everyone 💰,2574,telegram_images\20325_unknown_teams.jpg,2025-03-11 15:30:05,,,20325,
,3570,telegram_images\20324_unknown_teams.jpg,2025-03-11 14:51:34,4.0,Over 1.5 Total Goals Half Time,20324,100
Congratulations Everyone**,9440,telegram_images\20303_unknown_teams.jpg,2025-03-10 13:57:49,,,20303,
,10451,,2025-03-10 03:50:41,,,20299,
,10372,,2025-03-10 03:50:20,4.0,Over 3.5 Total Goals,20298,100
,14088,telegram_images\20264_unknown_teams.jpg,2025-03-08 15:47:15,,,20264,
,14443,telegram_images\20262_unknown_teams.jpg,2025-03-08 12:52:29,624.0,Over 15 Goals,20262,100
,14928,telegram_images\20251_unknown_teams.jpg,2025-03-08 01:31:38,,,20251,
I need you guys to put all you can on this match ! Hurry up,15081,,2025-03-08 00:06:14,,,20250,
,14975,telegram_images\20249_unknown_teams.jpg,2025-03-08 00:06:04,2.0,Over 114.5 Points First Half,20249,100
